"","Year","County.of.Study","County.of.Origin","value"
"3373","2012","Dublin","Tipperary",808
"3374","2013","Dublin","Tipperary",888
"3375","2000","Kildare","Tipperary",110
"3376","2001","Kildare","Tipperary",117
"3377","2002","Kildare","Tipperary",114
"3378","2003","Kildare","Tipperary",109
"3379","2004","Kildare","Tipperary",110
"3380","2005","Kildare","Tipperary",101
"3381","2006","Kildare","Tipperary",82
"3382","2007","Kildare","Tipperary",73
"3383","2008","Kildare","Tipperary",59
"3384","2009","Kildare","Tipperary",57
"3385","2010","Kildare","Tipperary",51
"3386","2011","Kildare","Tipperary",70
"3387","2012","Kildare","Tipperary",66
"3388","2013","Kildare","Tipperary",62
"3389","2000","Louth","Tipperary",12
"3390","2001","Louth","Tipperary",9
"3391","2002","Louth","Tipperary",8
"3392","2003","Louth","Tipperary",10
"3393","2004","Louth","Tipperary",10
"3394","2005","Louth","Tipperary",10
"3395","2006","Louth","Tipperary",10
"3396","2007","Louth","Tipperary",6
"3397","2008","Louth","Tipperary",6
"3398","2009","Louth","Tipperary",8
"3399","2010","Louth","Tipperary",10
"3400","2011","Louth","Tipperary",9
"3401","2012","Louth","Tipperary",9
"3402","2013","Louth","Tipperary",7
"3403","2000","Westmeath","Tipperary",83
"3404","2001","Westmeath","Tipperary",71
"3405","2002","Westmeath","Tipperary",68
"3406","2003","Westmeath","Tipperary",74
"3407","2004","Westmeath","Tipperary",84
"3408","2005","Westmeath","Tipperary",59
"3409","2006","Westmeath","Tipperary",71
"3410","2007","Westmeath","Tipperary",54
"3411","2008","Westmeath","Tipperary",37
"3412","2009","Westmeath","Tipperary",43
"3413","2010","Westmeath","Tipperary",51
"3414","2011","Westmeath","Tipperary",42
"3415","2012","Westmeath","Tipperary",48
"3416","2013","Westmeath","Tipperary",62
"3417","2000","Cork","Tipperary",831
"3418","2001","Cork","Tipperary",878
"3419","2002","Cork","Tipperary",902
"3420","2003","Cork","Tipperary",957
"3421","2004","Cork","Tipperary",995
"3422","2005","Cork","Tipperary",1039
"3423","2006","Cork","Tipperary",1092
"3424","2007","Cork","Tipperary",1055
"3425","2008","Cork","Tipperary",1066
"3426","2009","Cork","Tipperary",1113
"3427","2010","Cork","Tipperary",1211
"3428","2011","Cork","Tipperary",1204
"3429","2012","Cork","Tipperary",1190
"3430","2013","Cork","Tipperary",1161
"3431","2000","Kerry","Tipperary",74
"3432","2001","Kerry","Tipperary",81
"3433","2002","Kerry","Tipperary",70
"3434","2003","Kerry","Tipperary",59
"3435","2004","Kerry","Tipperary",59
"3436","2005","Kerry","Tipperary",56
"3437","2006","Kerry","Tipperary",44
"3438","2007","Kerry","Tipperary",44
"3439","2008","Kerry","Tipperary",26
"3440","2009","Kerry","Tipperary",19
"3441","2010","Kerry","Tipperary",25
"3442","2011","Kerry","Tipperary",27
"3443","2012","Kerry","Tipperary",35
"3444","2013","Kerry","Tipperary",32
"3445","2000","Limerick","Tipperary",1234
"3446","2001","Limerick","Tipperary",1361
"3447","2002","Limerick","Tipperary",1358
"3448","2003","Limerick","Tipperary",1349
"3449","2004","Limerick","Tipperary",1387
"3450","2005","Limerick","Tipperary",1371
"3451","2006","Limerick","Tipperary",1468
"3452","2007","Limerick","Tipperary",1511
"3453","2008","Limerick","Tipperary",1498
"3454","2009","Limerick","Tipperary",1597
"3455","2010","Limerick","Tipperary",1761
"3456","2011","Limerick","Tipperary",1826
"3457","2012","Limerick","Tipperary",2180
"3458","2013","Limerick","Tipperary",2200
"3459","2000","Tipperary","Tipperary",128
"3460","2001","Tipperary","Tipperary",136
"3461","2002","Tipperary","Tipperary",177
"3462","2003","Tipperary","Tipperary",197
"3463","2004","Tipperary","Tipperary",202
"3464","2005","Tipperary","Tipperary",265
"3465","2006","Tipperary","Tipperary",264
"3466","2007","Tipperary","Tipperary",245
"3467","2008","Tipperary","Tipperary",197
"3468","2009","Tipperary","Tipperary",212
"3469","2010","Tipperary","Tipperary",301
"3470","2011","Tipperary","Tipperary",398
"3471","2012","Tipperary","Tipperary",0
"3472","2013","Tipperary","Tipperary",0
"3473","2000","Waterford","Tipperary",569
"3474","2001","Waterford","Tipperary",585
"3475","2002","Waterford","Tipperary",619
"3476","2003","Waterford","Tipperary",675
"3477","2004","Waterford","Tipperary",669
"3478","2005","Waterford","Tipperary",625
"3479","2006","Waterford","Tipperary",685
"3480","2007","Waterford","Tipperary",621
"3481","2008","Waterford","Tipperary",666
"3482","2009","Waterford","Tipperary",623
"3483","2010","Waterford","Tipperary",624
"3484","2011","Waterford","Tipperary",669
"3485","2012","Waterford","Tipperary",678
"3486","2013","Waterford","Tipperary",715
"3487","2000","Galway","Tipperary",358
"3488","2001","Galway","Tipperary",297
"3489","2002","Galway","Tipperary",326
"3490","2003","Galway","Tipperary",289
"3491","2004","Galway","Tipperary",341
"3492","2005","Galway","Tipperary",323
"3493","2006","Galway","Tipperary",302
"3494","2007","Galway","Tipperary",254
"3495","2008","Galway","Tipperary",230
"3496","2009","Galway","Tipperary",233
"3497","2010","Galway","Tipperary",267
"3498","2011","Galway","Tipperary",280
"3499","2012","Galway","Tipperary",315
"3500","2013","Galway","Tipperary",327
"3501","2000","Sligo","Tipperary",33
"3502","2001","Sligo","Tipperary",28
"3503","2002","Sligo","Tipperary",23
"3504","2003","Sligo","Tipperary",22
"3505","2004","Sligo","Tipperary",12
"3506","2005","Sligo","Tipperary",12
"3507","2006","Sligo","Tipperary",19
"3508","2007","Sligo","Tipperary",25
"3509","2008","Sligo","Tipperary",24
"3510","2009","Sligo","Tipperary",22
"3511","2010","Sligo","Tipperary",11
"3512","2011","Sligo","Tipperary",19
"3513","2012","Sligo","Tipperary",13
"3514","2013","Sligo","Tipperary",26
"3515","2000","Donegal","Tipperary",4
"3516","2001","Donegal","Tipperary",4
"3517","2002","Donegal","Tipperary",5
"3518","2003","Donegal","Tipperary",3
"3519","2004","Donegal","Tipperary",5
"3520","2005","Donegal","Tipperary",6
"3521","2006","Donegal","Tipperary",5
"3522","2007","Donegal","Tipperary",6
"3523","2008","Donegal","Tipperary",3
"3524","2009","Donegal","Tipperary",2
"3525","2010","Donegal","Tipperary",2
"3526","2011","Donegal","Tipperary",1
"3527","2012","Donegal","Tipperary",3
"3528","2013","Donegal","Tipperary",3
"3543","2000","Carlow","Waterford",102
"3544","2001","Carlow","Waterford",82
"3545","2002","Carlow","Waterford",65
"3546","2003","Carlow","Waterford",52
"3547","2004","Carlow","Waterford",49
"3548","2005","Carlow","Waterford",34
"3549","2006","Carlow","Waterford",45
"3550","2007","Carlow","Waterford",45
"3551","2008","Carlow","Waterford",43
"3552","2009","Carlow","Waterford",39
"3553","2010","Carlow","Waterford",40
"3554","2011","Carlow","Waterford",36
"3555","2012","Carlow","Waterford",36
"3556","2013","Carlow","Waterford",52
"3557","2000","Dublin","Waterford",610
"3558","2001","Dublin","Waterford",566
"3559","2002","Dublin","Waterford",531
"3560","2003","Dublin","Waterford",588
"3561","2004","Dublin","Waterford",548
"3562","2005","Dublin","Waterford",533
"3563","2006","Dublin","Waterford",484
"3564","2007","Dublin","Waterford",489
"3565","2008","Dublin","Waterford",483
"3566","2009","Dublin","Waterford",477
"3567","2010","Dublin","Waterford",530
"3568","2011","Dublin","Waterford",560
"3569","2012","Dublin","Waterford",586
"3570","2013","Dublin","Waterford",593
"3571","2000","Kildare","Waterford",52
"3572","2001","Kildare","Waterford",48
"3573","2002","Kildare","Waterford",41
"3574","2003","Kildare","Waterford",44
"3575","2004","Kildare","Waterford",44
"3576","2005","Kildare","Waterford",42
"3577","2006","Kildare","Waterford",42
"3578","2007","Kildare","Waterford",36
"3579","2008","Kildare","Waterford",35
"3580","2009","Kildare","Waterford",27
"3581","2010","Kildare","Waterford",24
"3582","2011","Kildare","Waterford",32
"3583","2012","Kildare","Waterford",37
"3584","2013","Kildare","Waterford",50
"3585","2000","Louth","Waterford",3
"3586","2001","Louth","Waterford",3
"3587","2002","Louth","Waterford",3
"3588","2003","Louth","Waterford",2
"3589","2004","Louth","Waterford",2
"3590","2005","Louth","Waterford",2
"3591","2006","Louth","Waterford",3
"3592","2007","Louth","Waterford",7
"3593","2008","Louth","Waterford",2
"3594","2009","Louth","Waterford",2
"3595","2010","Louth","Waterford",5
"3596","2011","Louth","Waterford",5
"3597","2012","Louth","Waterford",5
"3598","2013","Louth","Waterford",3
"3599","2000","Westmeath","Waterford",8
"3600","2001","Westmeath","Waterford",8
"3601","2002","Westmeath","Waterford",6
"3602","2003","Westmeath","Waterford",9
"3603","2004","Westmeath","Waterford",5
"3604","2005","Westmeath","Waterford",3
"3605","2006","Westmeath","Waterford",5
"3606","2007","Westmeath","Waterford",7
"3607","2008","Westmeath","Waterford",9
"3608","2009","Westmeath","Waterford",11
"3609","2010","Westmeath","Waterford",5
"3610","2011","Westmeath","Waterford",7
"3611","2012","Westmeath","Waterford",5
"3612","2013","Westmeath","Waterford",5
"3613","2000","Cork","Waterford",626
"3614","2001","Cork","Waterford",659
"3615","2002","Cork","Waterford",692
"3616","2003","Cork","Waterford",737
"3617","2004","Cork","Waterford",785
"3618","2005","Cork","Waterford",812
"3619","2006","Cork","Waterford",825
"3620","2007","Cork","Waterford",852
"3621","2008","Cork","Waterford",923
"3622","2009","Cork","Waterford",953
"3623","2010","Cork","Waterford",982
"3624","2011","Cork","Waterford",997
"3625","2012","Cork","Waterford",935
"3626","2013","Cork","Waterford",900
"3627","2000","Kerry","Waterford",21
"3628","2001","Kerry","Waterford",16
"3629","2002","Kerry","Waterford",25
"3630","2003","Kerry","Waterford",20
"3631","2004","Kerry","Waterford",18
"3632","2005","Kerry","Waterford",20
"3633","2006","Kerry","Waterford",18
"3634","2007","Kerry","Waterford",14
"3635","2008","Kerry","Waterford",9
"3636","2009","Kerry","Waterford",6
"3637","2010","Kerry","Waterford",8
"3638","2011","Kerry","Waterford",5
"3639","2012","Kerry","Waterford",6
"3640","2013","Kerry","Waterford",6
"3641","2000","Limerick","Waterford",225
"3642","2001","Limerick","Waterford",263
"3643","2002","Limerick","Waterford",263
"3644","2003","Limerick","Waterford",292
"3645","2004","Limerick","Waterford",335
"3646","2005","Limerick","Waterford",316
"3647","2006","Limerick","Waterford",342
"3648","2007","Limerick","Waterford",347
"3649","2008","Limerick","Waterford",354
"3650","2009","Limerick","Waterford",410
"3651","2010","Limerick","Waterford",418
"3652","2011","Limerick","Waterford",452
"3653","2012","Limerick","Waterford",482
"3654","2013","Limerick","Waterford",476
"3655","2000","Tipperary","Waterford",4
"3656","2001","Tipperary","Waterford",8
"3657","2002","Tipperary","Waterford",9
"3658","2003","Tipperary","Waterford",11
"3659","2004","Tipperary","Waterford",17
"3660","2005","Tipperary","Waterford",8
"3661","2006","Tipperary","Waterford",9
"3662","2007","Tipperary","Waterford",6
"3663","2008","Tipperary","Waterford",6
"3664","2009","Tipperary","Waterford",11
"3665","2010","Tipperary","Waterford",12
"3666","2011","Tipperary","Waterford",25
"3667","2012","Tipperary","Waterford",0
"3668","2013","Tipperary","Waterford",0
"3669","2000","Waterford","Waterford",1083
"3670","2001","Waterford","Waterford",1190
"3671","2002","Waterford","Waterford",1288
"3672","2003","Waterford","Waterford",1323
"3673","2004","Waterford","Waterford",1393
"3674","2005","Waterford","Waterford",1237
"3675","2006","Waterford","Waterford",1329
"3676","2007","Waterford","Waterford",1418
"3677","2008","Waterford","Waterford",1716
"3678","2009","Waterford","Waterford",1911
"3679","2010","Waterford","Waterford",2100
"3680","2011","Waterford","Waterford",2151
"3681","2012","Waterford","Waterford",2212
"3682","2013","Waterford","Waterford",2256
"3683","2000","Galway","Waterford",63
"3684","2001","Galway","Waterford",67
"3685","2002","Galway","Waterford",78
"3686","2003","Galway","Waterford",72
"3687","2004","Galway","Waterford",78
"3688","2005","Galway","Waterford",71
"3689","2006","Galway","Waterford",69
"3690","2007","Galway","Waterford",60
"3691","2008","Galway","Waterford",55
"3692","2009","Galway","Waterford",55
"3693","2010","Galway","Waterford",60
"3694","2011","Galway","Waterford",46
"3695","2012","Galway","Waterford",58
"3696","2013","Galway","Waterford",76
"3697","2000","Sligo","Waterford",6
"3698","2001","Sligo","Waterford",13
"3699","2002","Sligo","Waterford",11
"3700","2003","Sligo","Waterford",6
"3701","2004","Sligo","Waterford",6
"3702","2005","Sligo","Waterford",9
"3703","2006","Sligo","Waterford",15
"3704","2007","Sligo","Waterford",9
"3705","2008","Sligo","Waterford",12
"3706","2009","Sligo","Waterford",9
"3707","2010","Sligo","Waterford",6
"3708","2011","Sligo","Waterford",10
"3709","2012","Sligo","Waterford",7
"3710","2013","Sligo","Waterford",11
"3711","2000","Donegal","Waterford",5
"3712","2001","Donegal","Waterford",1
"3713","2002","Donegal","Waterford",1
"3714","2003","Donegal","Waterford",0
"3715","2004","Donegal","Waterford",1
"3716","2005","Donegal","Waterford",1
"3717","2006","Donegal","Waterford",0
"3718","2007","Donegal","Waterford",2
"3719","2008","Donegal","Waterford",0
"3720","2009","Donegal","Waterford",1
"3721","2010","Donegal","Waterford",3
"3722","2011","Donegal","Waterford",2
"3723","2012","Donegal","Waterford",2
"3724","2013","Donegal","Waterford",3
"3739","2000","Carlow","Galway",27
"3740","2001","Carlow","Galway",33
"3741","2002","Carlow","Galway",32
"3742","2003","Carlow","Galway",23
"3743","2004","Carlow","Galway",17
"3744","2005","Carlow","Galway",24
"3745","2006","Carlow","Galway",36
"3746","2007","Carlow","Galway",39
"3747","2008","Carlow","Galway",41
"3748","2009","Carlow","Galway",44
"3749","2010","Carlow","Galway",39
"3750","2011","Carlow","Galway",33
"3751","2012","Carlow","Galway",36
"3752","2013","Carlow","Galway",39
"3753","2000","Dublin","Galway",953
"3754","2001","Dublin","Galway",973
"3755","2002","Dublin","Galway",940
"3756","2003","Dublin","Galway",1013
"3757","2004","Dublin","Galway",1037
"3758","2005","Dublin","Galway",982
"3759","2006","Dublin","Galway",945
"3760","2007","Dublin","Galway",916
"3761","2008","Dublin","Galway",955
"3762","2009","Dublin","Galway",930
"3763","2010","Dublin","Galway",1016
"3764","2011","Dublin","Galway",1082
"3765","2012","Dublin","Galway",1166
"3766","2013","Dublin","Galway",1206
"3767","2000","Kildare","Galway",173
"3768","2001","Kildare","Galway",168
"3769","2002","Kildare","Galway",153
"3770","2003","Kildare","Galway",127
"3771","2004","Kildare","Galway",129
"3772","2005","Kildare","Galway",139
"3773","2006","Kildare","Galway",133
"3774","2007","Kildare","Galway",123
"3775","2008","Kildare","Galway",103
"3776","2009","Kildare","Galway",93
"3777","2010","Kildare","Galway",105
"3778","2011","Kildare","Galway",110
"3779","2012","Kildare","Galway",118
"3780","2013","Kildare","Galway",104
"3781","2000","Louth","Galway",15
"3782","2001","Louth","Galway",12
"3783","2002","Louth","Galway",13
"3784","2003","Louth","Galway",19
"3785","2004","Louth","Galway",15
"3786","2005","Louth","Galway",11
"3787","2006","Louth","Galway",11
"3788","2007","Louth","Galway",19
"3789","2008","Louth","Galway",13
"3790","2009","Louth","Galway",21
"3791","2010","Louth","Galway",22
"3792","2011","Louth","Galway",25
"3793","2012","Louth","Galway",28
"3794","2013","Louth","Galway",21
"3795","2000","Westmeath","Galway",477
"3796","2001","Westmeath","Galway",502
"3797","2002","Westmeath","Galway",501
"3798","2003","Westmeath","Galway",528
"3799","2004","Westmeath","Galway",540
"3800","2005","Westmeath","Galway",489
"3801","2006","Westmeath","Galway",476
"3802","2007","Westmeath","Galway",445
"3803","2008","Westmeath","Galway",410
"3804","2009","Westmeath","Galway",379
"3805","2010","Westmeath","Galway",442
"3806","2011","Westmeath","Galway",441
"3807","2012","Westmeath","Galway",424
"3808","2013","Westmeath","Galway",476
"3809","2000","Cork","Galway",190
"3810","2001","Cork","Galway",176
"3811","2002","Cork","Galway",169
"3812","2003","Cork","Galway",169
"3813","2004","Cork","Galway",160
"3814","2005","Cork","Galway",163
"3815","2006","Cork","Galway",158
"3816","2007","Cork","Galway",182
"3817","2008","Cork","Galway",195
"3818","2009","Cork","Galway",183
"3819","2010","Cork","Galway",209
"3820","2011","Cork","Galway",207
"3821","2012","Cork","Galway",203
"3822","2013","Cork","Galway",206
"3823","2000","Kerry","Galway",50
"3824","2001","Kerry","Galway",57
"3825","2002","Kerry","Galway",59
"3826","2003","Kerry","Galway",48
"3827","2004","Kerry","Galway",43
"3828","2005","Kerry","Galway",37
"3829","2006","Kerry","Galway",40
"3830","2007","Kerry","Galway",37
"3831","2008","Kerry","Galway",25
"3832","2009","Kerry","Galway",27
"3833","2010","Kerry","Galway",28
"3834","2011","Kerry","Galway",29
"3835","2012","Kerry","Galway",27
"3836","2013","Kerry","Galway",33
"3837","2000","Limerick","Galway",953
"3838","2001","Limerick","Galway",1000
"3839","2002","Limerick","Galway",983
"3840","2003","Limerick","Galway",896
"3841","2004","Limerick","Galway",888
"3842","2005","Limerick","Galway",862
"3843","2006","Limerick","Galway",969
"3844","2007","Limerick","Galway",1020
"3845","2008","Limerick","Galway",1016
"3846","2009","Limerick","Galway",1162
"3847","2010","Limerick","Galway",1163
"3848","2011","Limerick","Galway",1116
"3849","2012","Limerick","Galway",1176
"3850","2013","Limerick","Galway",1119
"3851","2000","Tipperary","Galway",2
"3852","2001","Tipperary","Galway",2
"3853","2002","Tipperary","Galway",5
"3854","2003","Tipperary","Galway",7
"3855","2004","Tipperary","Galway",5
"3856","2005","Tipperary","Galway",3
"3857","2006","Tipperary","Galway",4
"3858","2007","Tipperary","Galway",2
"3859","2008","Tipperary","Galway",1
"3860","2009","Tipperary","Galway",2
"3861","2010","Tipperary","Galway",3
"3862","2011","Tipperary","Galway",7
"3863","2012","Tipperary","Galway",0
"3864","2013","Tipperary","Galway",0
"3865","2000","Waterford","Galway",72
"3866","2001","Waterford","Galway",63
"3867","2002","Waterford","Galway",55
"3868","2003","Waterford","Galway",55
"3869","2004","Waterford","Galway",47
"3870","2005","Waterford","Galway",39
"3871","2006","Waterford","Galway",34
"3872","2007","Waterford","Galway",45
"3873","2008","Waterford","Galway",46
"3874","2009","Waterford","Galway",48
"3875","2010","Waterford","Galway",53
"3876","2011","Waterford","Galway",56
"3877","2012","Waterford","Galway",57
"3878","2013","Waterford","Galway",58
"3879","2000","Galway","Galway",4579
"3880","2001","Galway","Galway",4843
"3881","2002","Galway","Galway",5268
"3882","2003","Galway","Galway",5640
"3883","2004","Galway","Galway",5812
"3884","2005","Galway","Galway",5576
"3885","2006","Galway","Galway",5904
"3886","2007","Galway","Galway",5789
"3887","2008","Galway","Galway",6198
"3888","2009","Galway","Galway",6569
"3889","2010","Galway","Galway",6869
"3890","2011","Galway","Galway",7227
"3891","2012","Galway","Galway",7285
"3892","2013","Galway","Galway",6272
"3893","2000","Sligo","Galway",231
"3894","2001","Sligo","Galway",207
"3895","2002","Sligo","Galway",244
"3896","2003","Sligo","Galway",270
"3897","2004","Sligo","Galway",260
"3898","2005","Sligo","Galway",250
"3899","2006","Sligo","Galway",294
"3900","2007","Sligo","Galway",277
"3901","2008","Sligo","Galway",247
"3902","2009","Sligo","Galway",283
"3903","2010","Sligo","Galway",319
"3904","2011","Sligo","Galway",288
"3905","2012","Sligo","Galway",338
"3906","2013","Sligo","Galway",299
"3907","2000","Donegal","Galway",55
"3908","2001","Donegal","Galway",42
"3909","2002","Donegal","Galway",31
"3910","2003","Donegal","Galway",29
"3911","2004","Donegal","Galway",26
"3912","2005","Donegal","Galway",33
"3913","2006","Donegal","Galway",28
"3914","2007","Donegal","Galway",33
"3915","2008","Donegal","Galway",28
"3916","2009","Donegal","Galway",31
"3917","2010","Donegal","Galway",38
"3918","2011","Donegal","Galway",32
"3919","2012","Donegal","Galway",35
"3920","2013","Donegal","Galway",45
"3935","2000","Carlow","Leitrim",6
"3936","2001","Carlow","Leitrim",6
"3937","2002","Carlow","Leitrim",5
"3938","2003","Carlow","Leitrim",7
"3939","2004","Carlow","Leitrim",6
"3940","2005","Carlow","Leitrim",6
"3941","2006","Carlow","Leitrim",13
"3942","2007","Carlow","Leitrim",12
"3943","2008","Carlow","Leitrim",15
"3944","2009","Carlow","Leitrim",10
"3945","2010","Carlow","Leitrim",11
"3946","2011","Carlow","Leitrim",12
"3947","2012","Carlow","Leitrim",11
"3948","2013","Carlow","Leitrim",13
"3949","2000","Dublin","Leitrim",223
"3950","2001","Dublin","Leitrim",265
"3951","2002","Dublin","Leitrim",270
"3952","2003","Dublin","Leitrim",281
"3953","2004","Dublin","Leitrim",268
"3954","2005","Dublin","Leitrim",339
"3955","2006","Dublin","Leitrim",257
"3956","2007","Dublin","Leitrim",249
"3957","2008","Dublin","Leitrim",263
"3958","2009","Dublin","Leitrim",290
"3959","2010","Dublin","Leitrim",310
"3960","2011","Dublin","Leitrim",334
"3961","2012","Dublin","Leitrim",335
"3962","2013","Dublin","Leitrim",274
"3963","2000","Kildare","Leitrim",51
"3964","2001","Kildare","Leitrim",55
"3965","2002","Kildare","Leitrim",55
"3966","2003","Kildare","Leitrim",61
"3967","2004","Kildare","Leitrim",64
"3968","2005","Kildare","Leitrim",59
"3969","2006","Kildare","Leitrim",59
"3970","2007","Kildare","Leitrim",64
"3971","2008","Kildare","Leitrim",54
"3972","2009","Kildare","Leitrim",75
"3973","2010","Kildare","Leitrim",81
"3974","2011","Kildare","Leitrim",84
"3975","2012","Kildare","Leitrim",68
"3976","2013","Kildare","Leitrim",71
"3977","2000","Louth","Leitrim",12
"3978","2001","Louth","Leitrim",10
"3979","2002","Louth","Leitrim",6
"3980","2003","Louth","Leitrim",7
"3981","2004","Louth","Leitrim",13
"3982","2005","Louth","Leitrim",12
"3983","2006","Louth","Leitrim",15
"3984","2007","Louth","Leitrim",13
"3985","2008","Louth","Leitrim",18
"3986","2009","Louth","Leitrim",14
"3987","2010","Louth","Leitrim",12
"3988","2011","Louth","Leitrim",16
"3989","2012","Louth","Leitrim",15
"3990","2013","Louth","Leitrim",16
"3991","2000","Westmeath","Leitrim",49
"3992","2001","Westmeath","Leitrim",61
"3993","2002","Westmeath","Leitrim",52
"3994","2003","Westmeath","Leitrim",61
"3995","2004","Westmeath","Leitrim",53
"3996","2005","Westmeath","Leitrim",56
"3997","2006","Westmeath","Leitrim",57
"3998","2007","Westmeath","Leitrim",50
"3999","2008","Westmeath","Leitrim",38
"4000","2009","Westmeath","Leitrim",27
"4001","2010","Westmeath","Leitrim",31
"4002","2011","Westmeath","Leitrim",30
"4003","2012","Westmeath","Leitrim",39
"4004","2013","Westmeath","Leitrim",41
"4005","2000","Cork","Leitrim",13
"4006","2001","Cork","Leitrim",11
"4007","2002","Cork","Leitrim",7
"4008","2003","Cork","Leitrim",8
"4009","2004","Cork","Leitrim",10
"4010","2005","Cork","Leitrim",10
"4011","2006","Cork","Leitrim",9
"4012","2007","Cork","Leitrim",6
"4013","2008","Cork","Leitrim",6
"4014","2009","Cork","Leitrim",6
"4015","2010","Cork","Leitrim",4
"4016","2011","Cork","Leitrim",4
"4017","2012","Cork","Leitrim",6
"4018","2013","Cork","Leitrim",14
"4019","2000","Kerry","Leitrim",2
"4020","2001","Kerry","Leitrim",1
"4021","2002","Kerry","Leitrim",1
"4022","2003","Kerry","Leitrim",0
"4023","2004","Kerry","Leitrim",0
"4024","2005","Kerry","Leitrim",1
"4025","2006","Kerry","Leitrim",0
"4026","2007","Kerry","Leitrim",1
"4027","2008","Kerry","Leitrim",0
"4028","2009","Kerry","Leitrim",2
"4029","2010","Kerry","Leitrim",4
"4030","2011","Kerry","Leitrim",4
"4031","2012","Kerry","Leitrim",4
"4032","2013","Kerry","Leitrim",3
"4033","2000","Limerick","Leitrim",90
"4034","2001","Limerick","Leitrim",72
"4035","2002","Limerick","Leitrim",58
"4036","2003","Limerick","Leitrim",47
"4037","2004","Limerick","Leitrim",40
"4038","2005","Limerick","Leitrim",50
"4039","2006","Limerick","Leitrim",63
"4040","2007","Limerick","Leitrim",63
"4041","2008","Limerick","Leitrim",64
"4042","2009","Limerick","Leitrim",67
"4043","2010","Limerick","Leitrim",66
"4044","2011","Limerick","Leitrim",73
"4045","2012","Limerick","Leitrim",77
"4046","2013","Limerick","Leitrim",68
"4047","2000","Tipperary","Leitrim",0
"4048","2001","Tipperary","Leitrim",0
"4049","2002","Tipperary","Leitrim",0
"4050","2003","Tipperary","Leitrim",0
"4051","2004","Tipperary","Leitrim",0
"4052","2005","Tipperary","Leitrim",1
"4053","2006","Tipperary","Leitrim",1
"4054","2007","Tipperary","Leitrim",0
"4055","2008","Tipperary","Leitrim",2
"4056","2009","Tipperary","Leitrim",0
"4057","2010","Tipperary","Leitrim",0
"4058","2011","Tipperary","Leitrim",0
"4059","2012","Tipperary","Leitrim",0
"4060","2013","Tipperary","Leitrim",0
"4061","2000","Waterford","Leitrim",13
"4062","2001","Waterford","Leitrim",16
"4063","2002","Waterford","Leitrim",17
"4064","2003","Waterford","Leitrim",12
"4065","2004","Waterford","Leitrim",10
"4066","2005","Waterford","Leitrim",7
"4067","2006","Waterford","Leitrim",5
"4068","2007","Waterford","Leitrim",4
"4069","2008","Waterford","Leitrim",4
"4070","2009","Waterford","Leitrim",6
"4071","2010","Waterford","Leitrim",5
"4072","2011","Waterford","Leitrim",4
"4073","2012","Waterford","Leitrim",6
"4074","2013","Waterford","Leitrim",10
"4075","2000","Galway","Leitrim",145
"4076","2001","Galway","Leitrim",132
"4077","2002","Galway","Leitrim",168
"4078","2003","Galway","Leitrim",177
"4079","2004","Galway","Leitrim",217
"4080","2005","Galway","Leitrim",217
"4081","2006","Galway","Leitrim",227
"4082","2007","Galway","Leitrim",213
"4083","2008","Galway","Leitrim",202
"4084","2009","Galway","Leitrim",250
"4085","2010","Galway","Leitrim",273
"4086","2011","Galway","Leitrim",274
"4087","2012","Galway","Leitrim",303
"4088","2013","Galway","Leitrim",268
"4089","2000","Sligo","Leitrim",195
"4090","2001","Sligo","Leitrim",205
"4091","2002","Sligo","Leitrim",288
"4092","2003","Sligo","Leitrim",293
"4093","2004","Sligo","Leitrim",313
"4094","2005","Sligo","Leitrim",313
"4095","2006","Sligo","Leitrim",326
"4096","2007","Sligo","Leitrim",312
"4097","2008","Sligo","Leitrim",303
"4098","2009","Sligo","Leitrim",321
"4099","2010","Sligo","Leitrim",324
"4100","2011","Sligo","Leitrim",320
"4101","2012","Sligo","Leitrim",272
"4102","2013","Sligo","Leitrim",267
"4103","2000","Donegal","Leitrim",39
"4104","2001","Donegal","Leitrim",52
"4105","2002","Donegal","Leitrim",46
"4106","2003","Donegal","Leitrim",43
"4107","2004","Donegal","Leitrim",48
"4108","2005","Donegal","Leitrim",37
"4109","2006","Donegal","Leitrim",38
"4110","2007","Donegal","Leitrim",34
"4111","2008","Donegal","Leitrim",28
"4112","2009","Donegal","Leitrim",26
"4113","2010","Donegal","Leitrim",29
"4114","2011","Donegal","Leitrim",23
"4115","2012","Donegal","Leitrim",30
"4116","2013","Donegal","Leitrim",43
"4131","2000","Carlow","Mayo",19
"4132","2001","Carlow","Mayo",18
"4133","2002","Carlow","Mayo",22
"4134","2003","Carlow","Mayo",20
"4135","2004","Carlow","Mayo",12
"4136","2005","Carlow","Mayo",21
"4137","2006","Carlow","Mayo",26
"4138","2007","Carlow","Mayo",31
"4139","2008","Carlow","Mayo",33
"4140","2009","Carlow","Mayo",26
"4141","2010","Carlow","Mayo",23
"4142","2011","Carlow","Mayo",36
"4143","2012","Carlow","Mayo",34
"4144","2013","Carlow","Mayo",38
"4145","2000","Dublin","Mayo",1069
"4146","2001","Dublin","Mayo",1130
"4147","2002","Dublin","Mayo",1106
"4148","2003","Dublin","Mayo",1064
"4149","2004","Dublin","Mayo",1165
"4150","2005","Dublin","Mayo",1061
"4151","2006","Dublin","Mayo",1134
"4152","2007","Dublin","Mayo",1072
"4153","2008","Dublin","Mayo",1040
"4154","2009","Dublin","Mayo",1028
